"index_2010","AGEB","P_TOTAL_2010","POB65_MAS_2010","GRAPROES_2010","PROM_HNV_2010","VIVTOT_2010","PRO_OCUP_C_2010","PROM_OCUP_2010","VPH_PC_2010","OTRAENT_2010","P_0A5_2010","index_2020","P_TOTAL_2020","POB65_MAS_2020","GRAPROES_2020","PROM_HNV_2020","VIVTOT_2020","PRO_OCUP_C_2020","PROM_OCUP_2020","VPH_PC_2020","OTRAENT_2020","P_0A5_2020","cambio_poblacion","cambio_ninos","cambio_adultos_mayores","cambio_educacion","cambio_hijos","cambio_viviendas","cambio_ocupantes","cambio_computadora","puntaje_poblacion","puntaje_ninos","puntaje_adultos_mayores","puntaje_educacion","puntaje_hijos","puntaje_viviendas","puntaje_ocupantes","puntaje_computadora","ITSE"
4129,"8110",2774,95,7.21868421052632,2.13789473684211,859,1.10526315789474,3.63552631578947,255,1247,334,4887,3123,164,8.39162162162162,1.96783783783784,915,0.955945945945946,3.33756756756757,324,1304,370,349,36,69,1.17293741109531,-0.170056899004267,56,-0.297958748221906,69,1,-1,1,-1,1,1,1,-1,2
4172,"8394",1382,15,7.41777777777778,2.14611111111111,387,1.315,4.06777777777778,75,700,208,4929,1580,57,8.248,1.99866666666667,449,1.12533333333333,3.652,137,663,209,198,1,42,0.830222222222221,-0.147444444444445,62,-0.415777777777778,62,1,-1,1,-1,1,1,1,-1,2
4191,"8407",774,22,12.75375,1.4525,271,0.80375,3.47375,176,208,82,4945,752,36,13.55875,1.39625,274,0.69875,3.0675,207,178,57,-22,-25,14,0.805,-0.0562499999999999,3,-0.40625,31,-1,1,1,-1,-1,-1,1,-1,-2
4200,"8426",2398,32,6.595,2.26921052631579,694,1.35868421052632,3.92157894736842,135,1108,404,4954,2272,113,8.05795454545455,2.13522727272727,730,1.03431818181818,3.2875,239,929,332,-126,-72,81,1.46295454545455,-0.133983253588517,36,-0.634078947368421,104,-1,1,-1,1,1,-1,1,1,2
4239,"8430",2190,36,6.32393939393939,1.93484848484848,610,1.13212121212121,3.63939393939394,164,1004,242,4999,2354,92,8.35666666666667,1.87090909090909,696,1.01575757575758,3.32848484848485,195,924,243,164,1,56,2.03272727272727,-0.0639393939393937,86,-0.310909090909091,31,1,-1,1,1,-1,1,1,-1,2
4273,"8445",2254,61,6.97739130434783,1.9445652173913,683,1.4495652173913,3.58282608695652,124,1063,295,5033,2686,116,8.315,2.07690476190476,788,1.08785714285714,3.38,235,1155,378,432,83,55,1.33760869565218,0.132339544513457,105,-0.202826086956521,111,1,-1,1,-1,-1,1,1,1,2
4320,"845A",2254,65,10.1115625,1.7978125,755,0.854375,3.453125,461,806,232,5076,2643,177,11.6584210526316,1.43070175438596,1026,0.712456140350877,2.71368421052632,620,813,230,389,-2,112,1.54685855263158,-0.367110745614035,271,-0.739440789473684,159,1,-1,-1,1,1,1,1,1,4
4353,"8464",3534,111,7.36549019607843,2.36764705882353,1004,1.29098039215686,3.94392156862745,302,1612,508,5134,4091,231,8.93980769230769,2.10134615384615,1231,1.0975,3.56807692307692,454,1582,543,557,35,120,1.57431749622926,-0.266300904977375,227,-0.375844645550528,152,1,-1,-1,1,1,1,1,1,4
4455,"8572",504,3,9.76142857142857,1.74714285714286,162,1.02571428571429,3.62285714285714,71,180,66,5238,599,33,10.8814285714286,1.63142857142857,198,0.851428571428571,3.13857142857143,74,156,59,95,-7,30,1.12,-0.115714285714286,36,-0.484285714285714,3,-1,-1,1,-1,1,-1,1,-1,-2
4463,"8587",248,6,7.34285714285714,2.45428571428571,77,0.982142857142857,3.59785714285714,12,162,43,5246,354,13,9.58428571428571,2.38857142857143,103,1.12428571428571,3.74071428571429,73,181,73,106,30,7,2.24142857142857,-0.0657142857142858,26,0.142857142857143,61,1,-1,1,1,-1,-1,-1,-1,-2
4509,"8708",877,0,8.79277777777778,1.17666666666667,276,0.707222222222222,2.825,157,269,123,5288,744,66,9.71375,1.255625,296,0.69125,2.43875,200,104,66,-133,-57,66,0.92097222222222,0.0789583333333332,20,-0.38625,43,-1,1,1,-1,-1,-1,1,-1,-2
4533,"8727",357,3,7.01055555555556,1.91166666666667,128,1.19722222222222,3.40444444444444,0,193,30,5308,556,49,6.92466666666667,1.86666666666667,182,0.932666666666667,3.016,55,319,69,199,39,46,-0.0858888888888885,-0.0449999999999997,54,-0.388444444444445,55,1,-1,1,-1,-1,1,1,-1,0
4627,"9551",47,3,7.13833333333333,0.608333333333333,14,0.375,1.905,13,34,3,5387,62,14,7.96666666666667,0.736666666666667,21,0.308333333333333,1.76833333333333,23,41,0,15,-3,11,0.828333333333333,0.128333333333333,7,-0.136666666666667,10,-1,-1,1,-1,-1,-1,1,-1,-4
4634,"9566",279,0,4.68,1.259,93,0.789,2.162,11,131,46,5394,414,26,7.87333333333333,1.70222222222222,129,0.974444444444444,3.26888888888889,34,225,54,135,8,26,3.19333333333333,0.443222222222222,36,1.10688888888889,23,1,-1,1,1,-1,-1,-1,-1,-2
4645,"9585",817,9,7.36461538461538,1.27153846153846,250,0.853076923076923,2.61076923076923,124,233,149,5404,827,4,10.242,1.285,254,0.839,3.071,144,236,76,10,-73,-5,2.87738461538462,0.0134615384615382,4,0.460230769230769,20,-1,1,1,1,-1,-1,-1,-1,-2
4659,"959A",980,20,3.69075,1.90425,312,1.11575,2.886,31,613,241,5415,1212,95,8.42088235294118,2.11794117647059,368,1.26029411764706,3.70735294117647,144,896,252,232,11,75,4.73013235294118,0.213691176470588,56,0.82135294117647,113,1,-1,-1,1,-1,1,-1,1,0
5190,"9744",114,3,3.595,1.265,39,0.66,1.6,5,69,12,5952,111,0,9.83,1.96,36,1.165,3.74,14,74,22,-3,10,-3,6.235,0.695,-3,2.14,9,-1,-1,1,1,-1,-1,-1,-1,-4
5193,"9759",198,6,7.125,2.555,46,1.54,4.605,9,113,25,5955,183,8,8.7,2.305,51,1.155,4.075,19,94,21,-15,-4,2,1.575,-0.25,5,-0.53,10,-1,-1,1,1,1,-1,1,-1,0
5320,"9829",69,0,5.30333333333333,1.20666666666667,21,0.75,2.36666666666667,0,28,0,6094,69,9,8.54285714285714,2.86714285714286,21,1.03142857142857,3.53,35,74,20,0,20,9,3.23952380952381,1.66047619047619,0,1.16333333333333,35,-1,-1,1,1,-1,-1,-1,-1,-4
5337,"9848",1554,13,9.5,1.67888888888889,658,0.947777777777778,3.39222222222222,179,665,239,6116,2498,50,10.1894117647059,1.69882352941176,768,0.967058823529412,3.44647058823529,344,1002,331,944,92,37,0.689411764705882,0.0199346405228757,110,0.0542483660130721,165,1,-1,1,-1,-1,1,-1,1,0
5356,"9852",998,3,11.2968421052632,1.47947368421053,394,0.874736842105263,2.9878947368421,205,350,166,6134,1089,38,11.5326315789474,1.44210526315789,387,0.863157894736842,3.02894736842105,224,256,147,91,-19,35,0.235789473684211,-0.0373684210526317,-7,0.0410526315789475,19,-1,-1,1,-1,-1,-1,-1,-1,-6
5376,"9867",796,9,10.2888235294118,1.61058823529412,287,1.04588235294118,3.33117647058824,116,275,207,6154,922,18,11.0017647058824,1.51470588235294,291,0.939411764705882,3.38941176470588,131,253,84,126,-123,9,0.712941176470588,-0.0958823529411765,4,0.0582352941176465,15,1,1,1,-1,-1,-1,-1,-1,-2
5394,"9871",2178,18,8.79405405405405,1.57135135135135,887,0.934594594594595,2.87135135135135,271,757,411,6172,2907,61,8.85378378378378,1.54675675675676,914,0.995135135135135,3.03,433,1010,344,729,-67,43,0.0597297297297281,-0.0245945945945947,27,0.158648648648648,162,1,1,1,-1,-1,-1,-1,1,0
