index,AGEB,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
1419,0789,2977.0,469.0,11.574222222222224,1.8711111111111112,1231.0,0.7057777777777777,2.7635555555555555,713.0,887.0,341.0
1465,0793,1358.0,217.0,10.744444444444445,1.8111111111111111,531.0,0.6507407407407407,2.766296296296296,295.0,383.0,112.0
1493,0825,1251.0,326.0,8.792631578947368,1.0905263157894738,603.0,0.34578947368421054,1.6759649122807019,417.0,505.0,39.0
1551,083A,2199.0,246.0,9.609347826086957,1.3471739130434783,997.0,0.5489130434782609,2.3445652173913043,627.0,1424.0,260.0
1598,0844,2140.0,544.0,13.2256,1.7588,939.0,0.5556,2.6572000000000005,603.0,694.0,108.0
1624,0859,2795.0,560.0,11.15081081081081,1.7181081081081082,1166.0,0.5754054054054054,2.5143243243243245,691.0,821.0,173.0
1662,0863,2687.0,472.0,11.592380952380953,1.9107142857142858,1016.0,0.7142857142857143,3.061428571428571,641.0,795.0,220.0
1705,0882,2582.0,485.0,11.211764705882352,1.7844117647058824,1019.0,0.5870588235294117,2.658529411764706,607.0,849.0,175.0
1774,1005,3611.0,121.0,11.394,1.5959999999999999,1161.0,0.8926666666666667,3.3973333333333335,655.0,1379.0,386.0
1790,101A,1650.0,48.0,11.052105263157895,1.593157894736842,566.0,0.9457894736842105,3.0842105263157897,354.0,547.0,245.0
1810,1024,2842.0,93.0,10.41777777777778,1.4311111111111112,1023.0,0.735,2.6966666666666668,601.0,1015.0,312.0
1847,1039,2195.0,66.0,10.346400000000001,1.7564,703.0,0.9068,3.1788,367.0,850.0,284.0
1873,1043,4039.0,248.0,9.216041666666667,1.87625,1291.0,0.9339583333333333,3.1477083333333336,550.0,1455.0,430.0
1922,1058,2763.0,160.0,8.925142857142857,1.5271428571428571,544.0,0.8185714285714285,3.045142857142857,270.0,1736.0,238.0
1986,1221,310.0,3.0,8.646521739130435,1.7839130434782609,110.0,1.151304347826087,3.113913043478261,105.0,194.0,176.0
2010,1236,947.0,34.0,7.8774,1.8174000000000001,303.0,1.1008,3.2539999999999996,115.0,556.0,142.0
2061,1240,226.0,23.0,8.942,1.81,75.0,1.0070000000000001,3.3369999999999997,33.0,137.0,47.0
2072,1255,2434.0,56.0,10.607727272727272,1.4577272727272728,892.0,0.9536363636363636,2.8536363636363635,412.0,967.0,255.0
2149,1397,226.0,10.0,7.4799999999999995,2.988,65.0,1.392,3.976,15.0,117.0,12.0
2155,140A,522.0,0.0,11.518181818181818,1.5945454545454545,210.0,0.8618181818181818,2.9063636363636363,118.0,199.0,85.0
2167,1414,180.0,7.0,5.855714285714286,1.7442857142857144,64.0,0.9357142857142857,2.48,15.0,87.0,38.0
2175,1452,1829.0,40.0,10.136363636363637,1.3129090909090908,707.0,0.7618181818181818,2.6623636363636365,346.0,551.0,213.0
