index,AGEB,MZA,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
389,0562,13,29.0,14.0,10.96,2.8,14.0,0.39,2.42,8.0,10.0,0.0
390,0562,14,45.0,11.0,12.36,2.21,19.0,0.56,2.81,10.0,6.0,3.0
391,0562,15,57.0,11.0,12.3,1.31,21.0,0.75,3.35,11.0,15.0,3.0
392,0562,16,57.0,8.0,10.69,2.08,21.0,0.58,2.85,11.0,12.0,6.0
393,0562,17,41.0,8.0,12.48,1.65,19.0,0.54,2.73,8.0,17.0,7.0
394,0562,18,69.0,5.0,11.2,2.08,27.0,0.82,3.83,11.0,8.0,3.0
395,0562,19,106.0,55.0,8.08,1.89,35.0,0.65,2.5,15.0,60.0,6.0
396,0562,20,14.0,55.0,12.89,2.0,4.0,0.48,3.5,4.0,5.0,3.0
397,0562,21,22.0,5.0,13.1,2.82,12.0,0.47,2.2,9.0,4.0,0.0
398,0562,22,45.0,6.0,11.75,1.5,23.0,0.74,2.65,7.0,13.0,7.0
399,0562,23,53.0,4.0,10.91,1.85,27.0,0.65,2.79,9.0,21.0,8.0
400,0562,24,54.0,3.0,13.73,2.0,14.0,0.6,3.86,12.0,8.0,8.0
401,0562,25,78.0,7.0,12.18,1.63,32.0,0.61,2.79,17.0,21.0,8.0
402,0562,26,101.0,9.0,9.7,1.2,20.0,0.49,2.36,8.0,20.0,0.0
403,0562,27,63.0,4.0,12.2,1.67,37.0,0.74,2.74,18.0,26.0,0.0
404,0562,28,115.0,6.0,13.55,1.66,50.0,0.6,2.72,25.0,40.0,5.0
406,0577,1,11.0,3.0,12.11,1.0,9.0,0.38,2.2,3.0,40.0,0.0
407,0577,2,37.0,3.0,14.07,1.22,18.0,0.53,2.64,12.0,10.0,3.0
408,0577,3,39.0,5.0,14.03,1.4,25.0,0.6,2.05,12.0,12.0,3.0
409,0577,4,34.0,7.0,13.41,2.47,15.0,0.46,2.83,8.0,14.0,3.0
410,0577,5,106.0,16.0,13.22,1.62,69.0,0.48,2.26,39.0,52.0,5.0
411,0577,8,41.0,16.0,14.24,1.47,19.0,0.52,2.56,12.0,10.0,5.0
